
Personal Information	Tab Corner Right	Student Services	Tab Corner Right	Financial Aid	Tab Corner Right	Employee Services	Tab Corner Right	Additional Academic Services	Tab Corner Right
Transparent Image
Search   
RETURN TO MENU | SITE MAP | HELP
Look-Up Classes to Add:

 	
988900485 Jay W. Brink
Fall 2013
Aug 14, 2013 07:40 pm
Transparent Image
 Information	 To register for classes, check the box in front of the CRN (C identifies a closed class, NR identifies class not available for registration at this time, and SR identifies student restrictions on class) and click Register or Add to Worksheet.
Stockton Students: To register for an Independent Study, Internship, Research or non-Engineering Co-op (course will be marked NR) - Click here.

Helpful Codes
WL = Cap, Act & Rem are used only by McGeorge School of Law
Location: NBA = No Building Assigned
Sec: L = Lab; D = Discussion; ON = Online;

Sections Found
ACTY - Activity
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	WL Cap	WL Act	WL Rem	XL Cap	XL Act	XL Rem	Instructor	Date (MM/DD)	Location	Attribute
C	80532	ARTS	021	01	1	3.000	Life Drawing I	MW	04:00 pm-06:50 pm	12	15	-3	0	0	0	20	20	0	Monika M Meler (P)	08/26-12/13	ART 106	 
SR	81347	ARTS	023	01	1	3.000	Painting I	MW	09:00 am-11:50 am	15	11	4	0	0	0	20	11	9	Lucinda L. Kasser (P)	08/26-12/13	ART 106	 
C	82184	ARTS	035	01	1	3.000	Ceramics	MW	01:00 pm-03:50 pm	15	15	0	0	0	0	0	0	0	Trent Burkett (P)	08/26-12/13	ART CS	GE II-C: Visual & Perf. Arts
SR	82185	ARTS	035	02	1	3.000	Ceramics	MW	04:00 pm-06:50 pm	15	14	1	0	0	0	30	14	16	Trent Burkett (P)	08/26-12/13	ART CS	GE II-C: Visual & Perf. Arts
SR	80890	ARTS	037	01	1	3.000	Sculpture	TR	09:00 am-11:50 am	15	14	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	ART 103	GE II-C: Visual & Perf. Arts
C	80556	ARTS	045	01	1	3.000	Digital Photography	MW	04:00 pm-06:50 pm	15	15	0	0	0	0	0	0	0	Jennifer L Little (P)	08/26-12/13	ART 110	Film Studies Courses and GE II-C: Visual & Perf. Arts
C	80650	ARTS	045	02	1	3.000	Digital Photography	MW	07:00 pm-09:50 pm	15	16	-1	0	0	0	0	0	0	Jennifer L Little (P)	08/26-12/13	ART 110	Film Studies Courses and GE II-C: Visual & Perf. Arts
C	81219	ARTS	073	01	1	1.000	Freshman Seminar	T	12:00 pm-12:50 pm	20	20	0	0	0	0	0	0	0	Stewart Brett DeBoer (P)	08/26-12/13	ART 119	 
C	80005	ARTS	077	01	1	3.000	Graphic Design II	MW	09:00 am-11:50 am	15	16	-1	0	0	0	0	0	0	Stewart Brett DeBoer (P)	08/26-12/13	ART 119	 
SR	80537	ARTS	079	01	1	3.000	Typography I	TR	01:00 pm-03:50 pm	15	10	5	0	0	0	0	0	0	Marie Anna Lee (P)	08/26-12/13	ART 119	 
NR	80820	ARTS	087	01	1	2.000-4.000	Internship	 	TBA	1	0	1	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
SR	80685	ARTS	089	01	1	1.000-4.000	Practicum	 	TBA	20	0	20	0	0	0	0	0	0	Pacific Staff (P)	08/26-12/13	TBA	 
SR	81342	ARTS	095	01	1	3.000	Time Based Media: Video	MW	01:00 pm-03:50 pm	15	10	5	0	0	0	0	0	0	Jennifer L Little (P)	08/26-12/13	ART 110	Film Studies Courses
C	82186	ARTS	115	01	1	3.000	Time-Based Media:Motion Graph.	TR	09:00 am-11:50 am	15	15	0	0	0	0	0	0	0	Marie Anna Lee (P)	08/26-12/13	ART 110	 
C	80533	ARTS	121	01	1	3.000	Life Drawing II	MW	04:00 pm-06:50 pm	8	5	3	0	0	0	20	20	0	Monika M Meler (P)	08/26-12/13	ART 106	 
SR	81345	ARTS	123	01	1	3.000	Painting II	MW	09:00 am-11:50 am	5	0	5	0	0	0	20	11	9	Lucinda L. Kasser (P)	08/26-12/13	ART 106	 
SR	81591	ARTS	127	01	1	3.000	Illustration	TR	01:00 pm-03:50 pm	15	10	5	0	0	0	0	0	0	Michael E Leonard (P)	08/26-12/13	ART 103	 
SR	82187	ARTS	133	01	1	3.000	Three-Dimensional Studio I	MW	04:00 pm-06:50 pm	15	0	15	0	0	0	30	14	16	Trent Burkett (P)	08/26-12/13	ART CS	 
SR	82188	ARTS	135	01	1	3.000	Three-dimensional Studio II	MW	04:00 pm-06:50 pm	15	0	15	0	0	0	30	14	16	Trent Burkett (P)	08/26-12/13	ART CS	 
SR	80006	ARTS	173	01	1	3.000	Graphic Design Studio/Seminar	MW	01:00 pm-03:50 pm	15	11	4	0	0	0	0	0	0	Stewart Brett DeBoer (P)	08/26-12/13	ART 119	 
SR	80536	ARTS	183	01	1	3.000	Art Studio/Seminar II	MW	07:00 pm-09:50 pm	10	4	6	0	0	0	0	0	0	Monika M Meler (P)	08/26-12/13	ART 109	 
